Nível de Utilização [%];Potência instalada [kVA];Coordenadas Geográficas
60%-79%;400;41.2435306559995, -8.65943779086139
20%-39%;100;41.5015970945084, -8.56742526958707
40%-59%;100;38.6620902485639, -8.51014134492647
60%-79%;630;37.0906211428574, -8.44609637871052
40%-59%;250;41.365592328216, -8.74351967184105
20%-39%;50;39.3284337931707, -8.2940975867499
0%-19%;160;39.3872944411965, -8.2398047533163
0%-19%;630;38.3112446620032, -8.74818197332891
20%-39%;250;38.7159461626416, -8.70664104599782
20%-39%;630;38.6290335826837, -9.19219363746367
20%-39%;250;38.653351416201, -9.04005307811301
20%-39%;50;42.0859775648527, -8.22516501287018
20%-39%;400;40.9902693731401, -7.39311625540987
40%-59%;400;38.7252145235737, -9.2481702146091
40%-59%;1000;41.2042262284994, -8.56106248808758
0%-19%;630;39.8016169959296, -7.53200652579129
20%-39%;630;40.2143201590624, -8.42935702030435
40%-59%;50;39.9083142006871, -7.94477334500638
80%-99%;100;40.1400372186575, -8.41878880120145
60%-79%;250;41.184876744758, -6.98503362281876
20%-39%;400;37.1328381902581, -8.51603232343015
40%-59%;250;37.1064966708315, -8.46981468438439
20%-39%;630;41.161657508602, -8.63984067338388
20%-39%;630;41.0652936919123, -8.5589548148195
0%-19%;160;39.3431209013398, -8.50399308745261
60%-79%;100;38.049573343474, -8.74248104705573
60%-79%;250;38.6673637457819, -9.188478472385
20%-39%;160;40.704640143498, -8.08991282569421
0%-19%;100;40.7176021626358, -8.52141182378022
+100%;100;41.4073837900811, -8.35779813336166
40%-59%;250;41.463644915167, -8.25649131606686
20%-39%;100;40.4514977351988, -7.84810374605006
0%-19%;630;38.7081889734536, -9.16706507817122
60%-79%;100;39.6906493786645, -8.79420748692661
0%-19%;400;38.7379046303456, -9.1492658791669
40%-59%;250;39.7536180673765, -8.85886204131837
40%-59%;250;38.7723712829495, -9.17208321370808
0%-19%;160;38.7498174744831, -9.14026873391135
80%-99%;400;38.8121822262385, -9.103005563489
0%-19%;630;41.2231368254865, -8.60584016891451
80%-99%;100;41.0728627519311, -8.38327569378422
0%-19%;400;37.0915319444002, -8.2234681011339
0%-19%;1260;41.1647049468513, -8.58807648341384
20%-39%;630;39.212789827317, -8.61935976946025
60%-79%;50;37.9043412091861, -8.59481501695112
20%-39%;100;40.7550068919667, -7.62582312073445
