Nível de Utilização [%];Potência instalada [kVA];Coordenadas Geográficas
20%-39%;250;41.158962252458, -8.37292570359669
0%-19%;630;41.2281398722657, -8.57979999415223
40%-59%;400;41.4326162746579, -8.63392547028393
20%-39%;50;37.4400436573947, -8.04768163555653
40%-59%;100;41.5521839627139, -8.45540947449335
20%-39%;500;37.092624093586, -8.26461480205333
60%-79%;400;37.0564912518965, -7.74923680705566
20%-39%;250;37.1122551247722, -8.2497715745498
+100%;100;37.068882970863, -7.84568144687738
0%-19%;630;41.1152402442415, -8.66147470899114
60%-79%;630;41.0652185789285, -8.46994923112314
0%-19%;630;39.1924759296496, -8.61797808535052
20%-39%;630;39.2598904808707, -8.7004134099853
0%-19%;630;39.213955756316, -8.62121092227016
60%-79%;400;38.5548626529523, -9.01796398696372
0%-19%;250;39.4749660435051, -8.55953632067626
20%-39%;630;41.15539880916, -7.77757314743925
40%-59%;100;40.7709197967037, -8.02863288891278
20%-39%;100;40.8832075188436, -7.48958616852557
40%-59%;250;40.7461462520229, -7.73452724439218
0%-19%;400;40.7817208085393, -8.47156384391426
60%-79%;100;41.0472323114359, -8.37546140846601
0%-19%;630;40.6033022029118, -8.66413042207456
60%-79%;160;41.60868157806, -8.33304056208882
20%-39%;630;41.419489148018, -8.31719630709119
0%-19%;400;41.4220881818743, -8.35527524953722
60%-79%;100;41.454978368838, -8.28074494551527
20%-39%;630;41.4519025643796, -8.31526150163821
40%-59%;160;41.3639256746127, -8.31314360960582
60%-79%;100;40.0808986161165, -8.77415857911168
60%-79%;100;40.0516900876903, -8.59728073229782
0%-19%;50;40.8297628321796, -7.29350017195298
0%-19%;630;38.7077513077881, -9.39955196883017
40%-59%;630;38.7023786027476, -9.34614888400985
40%-59%;630;39.2484343043445, -9.31066833754226
0%-19%;630;39.5081031019243, -7.6391598163606
20%-39%;100;39.3110677610405, -7.90253805993736
40%-59%;400;41.2255744442356, -8.70541464322872
20%-39%;250;41.1837635327275, -8.59193693376686
20%-39%;50;37.7199186894364, -7.68619304295144
60%-79%;50;37.9325072477805, -7.29608952096832
0%-19%;100;37.5271679257935, -8.76685236287716
60%-79%;160;40.2599066750452, -7.46689661221876
+100%;100;40.364210893932, -7.39155026010344
0%-19%;100;37.3682671858342, -8.79469332795581
20%-39%;250;37.1187595658405, -8.64844664397094
20%-39%;250;37.177841586931, -8.34591693535249
0%-19%;400;37.0297820746088, -7.83585509757146
60%-79%;250;41.2971658976668, -8.67906168777279
0%-19%;630;41.1109707401512, -8.61953755176914
40%-59%;400;41.0506888978878, -8.60767217581559
40%-59%;630;39.1373652932314, -8.68168209703831
40%-59%;250;39.5978630521931, -8.4180073697924
20%-39%;250;39.616975914252, -8.6794323552579
40%-59%;100;41.0663812940076, -7.99373050763474
0%-19%;50;40.7699498537621, -8.17946965455713
20%-39%;100;40.547621200306, -8.13526032919716
60%-79%;50;40.5843201466888, -7.60705747390422
40%-59%;400;40.8973078699964, -8.49859098818694
60%-79%;400;40.7521771127049, -8.57116212626093
60%-79%;400;40.9687823226428, -8.50077927787475
20%-39%;400;40.8846035453974, -8.44567222691372
+100%;160;41.6005019095171, -8.42169605006084
40%-59%;160;41.6121394555374, -8.24269445289792
0%-19%;100;41.4876256811291, -7.93769260327304
20%-39%;160;39.9032437429517, -8.44084789199047
20%-39%;250;39.4423329993174, -8.97547439695654
60%-79%;50;39.8513805454368, -8.39960923438622
20%-39%;250;37.1812429420836, -7.53943425289134
40%-59%;630;38.7124521539704, -9.36336745802735
60%-79%;100;39.0102873529069, -9.04494822163219
20%-39%;400;38.7255824878354, -9.33605486011446
0%-19%;1260;38.7496482900177, -9.16965612947868
0%-19%;630;38.8268600503507, -9.17411398627561
0%-19%;50;39.2047107428902, -9.24866416722086
40%-59%;100;39.2601569654754, -7.99674519412009
60%-79%;200;38.8039894186572, -9.18433493506464
40%-59%;400;41.5112794070873, -8.63427363233852
20%-39%;50;39.7579282417039, -8.02502633164075
20%-39%;100;40.3347122475002, -7.33537266074609
60%-79%;160;37.056243246147, -7.77929704548353
20%-39%;250;37.1731057144805, -8.56195738837956
20%-39%;1260;37.0790355130308, -8.1226079057569
20%-39%;400;37.0889963190883, -8.22868434271482
20%-39%;630;41.3903895808835, -8.77216377276651
20%-39%;250;41.2967097629462, -8.69097273407103
0%-19%;160;39.3593853869111, -8.46920220333453
40%-59%;50;39.1763732674135, -8.87827849290116
80%-99%;250;39.138995110228, -8.73830752716118
80%-99%;160;39.2594122807337, -8.88874013600915
0%-19%;1260;37.7955822432554, -8.68528919206413
0%-19%;630;38.6669813607269, -8.61885630935789
20%-39%;630;38.6219942985125, -9.13396805681525
0%-19%;400;38.5320074620549, -8.86851212273926
40%-59%;100;41.8945883776157, -8.69982501410091
0%-19%;160;41.8790539251336, -8.43774121918084
40%-59%;250;41.2838144765464, -7.73039423621848
20%-39%;400;40.8456771934527, -8.46497330000673
20%-39%;630;40.5720810755011, -8.44200349705369
60%-79%;250;40.9470564793692, -8.47105272922277
20%-39%;630;40.634949122743, -8.72295552464995
20%-39%;160;41.6093987244383, -8.50230555118718
60%-79%;100;41.4220050475171, -6.47985582978568
60%-79%;100;41.6768830530746, -8.39034571175806
40%-59%;400;40.350768462085, -7.85353034412125
40%-59%;400;40.163929281705, -8.86978857562362
0%-19%;630;40.2158652602412, -8.43639016132081
40%-59%;160;40.134093634285, -8.71173377274696
40%-59%;100;40.402250603407, -7.735051562025
40%-59%;50;40.926138143043, -7.22408189203614
40%-59%;100;40.3570226215238, -7.19121538899211
0%-19%;1260;38.7598408323382, -9.0938644654777
20%-39%;250;39.705754141963, -8.85692944955938
40%-59%;400;39.8698868551009, -8.84832323373394
40%-59%;250;39.0041651022248, -9.00211225318934
40%-59%;200;38.7202691604256, -9.2157200441713
20%-39%;630;38.7093619804427, -9.16681698490458
40%-59%;630;38.7413550907158, -9.27077013090452
0%-19%;630;38.7844786214403, -9.09913164944986
0%-19%;630;41.1641355982167, -8.54365480971269
0%-19%;100;41.2874070591123, -8.12199354502538
20%-39%;250;41.234667759263, -8.57503235862283
0%-19%;800;41.235063288489, -8.62096230364651
20%-39%;100;41.3489856966026, -8.31865903053318
60%-79%;160;37.1561464695368, -8.43356183268314
20%-39%;630;37.1091863423696, -8.12637253940314
20%-39%;400;41.2289572045987, -8.55874086833091
40%-59%;400;41.1617309019856, -8.62921827030765
40%-59%;100;39.6053029315608, -8.38338041218392
20%-39%;100;39.5536348624318, -8.10221153577894
20%-39%;630;39.2389489567617, -8.70032669296819
60%-79%;100;39.7106875216861, -8.5468507710625
0%-19%;630;38.6283254494154, -9.03333099967257
0%-19%;250;41.4055705032813, -7.44771068000598
0%-19%;50;41.8154866278974, -8.40386103713747
60%-79%;100;40.6739976351782, -7.68629580159325
40%-59%;50;40.6352888997297, -8.00818601388758
20%-39%;400;40.5984290243743, -8.67258974025896
+100%;100;40.9342190296067, -8.40224937252043
0%-19%;160;40.5606212493788, -8.61016850121445
20%-39%;630;41.4092181124802, -8.51883683982
40%-59%;160;40.0575597604182, -8.75611854811804
0%-19%;630;40.173363689935, -8.89295958830454
40%-59%;160;40.2854273791799, -8.34139934369172
60%-79%;250;39.645633674791, -8.82607106842104
20%-39%;100;40.4997659067275, -7.15048773702381
20%-39%;50;40.5572604030607, -7.44099873828649
0%-19%;50;40.4403869475595, -7.51757471941034
40%-59%;100;41.0420778747723, -7.30165406984787
40%-59%;250;40.4184447807453, -7.69535324530938
20%-39%;160;39.6275572186574, -8.84675730094434
60%-79%;200;38.994878075767, -9.08071322937445
40%-59%;630;39.9175452134561, -8.62664172766459
20%-39%;1260;38.8427764564713, -9.16181070737347
20%-39%;630;38.7423376435584, -9.14364607602156
20%-39%;630;38.8031965715767, -9.1579478542734
40%-59%;50;39.3146412923631, -8.02077759337963
20%-39%;630;39.2784021944844, -7.42953351370378
80%-99%;250;41.1890460945922, -8.36815223099335
40%-59%;400;41.2233156791418, -8.58466168789987
0%-19%;630;41.2394086308661, -8.60918135642466
40%-59%;800;41.173786446877, -8.67375956854905
60%-79%;250;37.9496111631734, -7.30492322569138
40%-59%;100;38.1979428607674, -7.48561664749883
20%-39%;100;40.3119719366884, -8.70727415249577
20%-39%;100;39.8682992499744, -7.48446638070819
20%-39%;630;41.18460539466, -8.60345510861265
20%-39%;100;41.2867031670204, -8.46247712567523
40%-59%;160;41.0565869475473, -8.55552925428883
40%-59%;400;41.3331488350794, -8.7257974332492
80%-99%;400;41.3940634029931, -8.7267560260268
0%-19%;50;39.7700959426899, -8.25614777462535
0%-19%;630;39.0219756137592, -8.79767607935498
60%-79%;400;38.5361918189744, -8.87144877624374
40%-59%;400;38.5135245279735, -9.02127606514585
20%-39%;400;38.1806058073544, -8.56637472950543
20%-39%;250;38.5986988264057, -9.14012423919613
60%-79%;250;38.6647026610167, -9.25482142144566
40%-59%;100;40.8503580653056, -7.96831332899363
60%-79%;250;40.8768306688376, -8.57075738567382
60%-79%;160;41.4110627015545, -8.30251610253339
20%-39%;250;41.6514042306339, -7.12900184086695
20%-39%;100;38.5900005346659, -7.91939383157109
40%-59%;200;39.7374002599792, -8.7995574062646
20%-39%;400;39.7406145019418, -8.80622552932501
20%-39%;630;39.0232556622387, -8.97179143134802
40%-59%;250;38.9335132433519, -9.24776085919358
80%-99%;400;38.7935770130591, -9.45294377189259
20%-39%;630;38.8550268204627, -9.07359965452898
40%-59%;50;38.9697117202402, -7.04485686171305
20%-39%;1890;41.2150565813773, -8.62296251121318
20%-39%;500;41.1924676630094, -8.59070069471593
60%-79%;250;37.9663284681605, -8.08159969910955
60%-79%;160;41.5144210288666, -8.65154783081793
20%-39%;630;38.0136688649955, -7.86366156507592
60%-79%;160;40.8159874101359, -8.39236862762604
+100%;160;40.2425481364703, -8.4086316356111
60%-79%;160;40.1798159666607, -8.45158540886734
20%-39%;500;40.2802297401012, -7.50296649853996
20%-39%;50;39.8546902503512, -7.49021058945951
60%-79%;100;38.6309099278688, -7.56962215351813
60%-79%;630;37.1303377441965, -8.59197133440605
0%-19%;1260;41.2147590030481, -8.50839043674889
20%-39%;630;38.6450521940726, -9.23416149077434
0%-19%;250;38.7175520971901, -8.97242675399642
20%-39%;400;38.4739597527533, -9.07777412717759
80%-99%;160;41.7955446205893, -7.25981320850379
40%-59%;100;41.8558156342696, -8.42574088487052
20%-39%;160;41.6526533679821, -8.65584056047911
0%-19%;400;41.602324494322, -7.30607458236422
60%-79%;160;40.3809665667698, -8.4100376323157
40%-59%;630;40.6486661201415, -8.6466598657147
40%-59%;160;41.0598211471233, -8.25779497556076
60%-79%;250;40.7036256893232, -8.55359374829438
60%-79%;250;41.4500625956364, -8.19417677869271
20%-39%;50;41.4771595219961, -6.83749630133374
20%-39%;630;39.2661893063493, -9.16143422610592
40%-59%;630;38.7025669942393, -9.42188807239781
20%-39%;400;39.0702544040078, -8.87659563978086
40%-59%;630;38.8308955535276, -9.09409558302404
+100%;100;39.3211179732249, -7.80466507132506
20%-39%;630;41.1923955927954, -8.60654705145124
20%-39%;50;37.5023443361441, -8.78675249952968
20%-39%;630;41.524358344265, -8.65037806682351
40%-59%;160;41.4672456826348, -8.61803473754842
80%-99%;50;38.1108856808224, -8.03241311128958
0%-19%;100;41.9389166985173, -7.06772122469679
40%-59%;630;37.1355187997839, -8.0125879158198
20%-39%;630;37.1259917985498, -8.23248754790805
0%-19%;630;37.0324082543013, -8.0215416191825
40%-59%;50;37.2648823123375, -7.9605722528388
20%-39%;2520;41.1488793292387, -8.60452572093166
0%-19%;1260;41.1630788401468, -8.66716442480563
40%-59%;250;41.2975797676834, -8.689316457589
40%-59%;160;41.4429593521904, -8.69158874141134
20%-39%;400;41.1574318171183, -8.59318215207059
40%-59%;630;41.0987254211168, -8.55155421675004
0%-19%;400;41.0632167858034, -8.5814661558122
20%-39%;630;41.0391582628235, -8.63367719395939
0%-19%;400;41.0479342028668, -8.63359932602685
60%-79%;250;39.0989647382115, -8.70898895598415
80%-99%;250;39.4642584813727, -8.67590970365797
0%-19%;1260;38.5914266002149, -9.0532645560275
20%-39%;400;38.6688272777233, -9.16653859128595
40%-59%;100;41.8062272831593, -7.34095352467335
80%-99%;250;42.0324010671355, -8.63182551256755
40%-59%;100;41.7263705065247, -8.54196220836748
80%-99%;100;40.7187919160673, -8.07468628445888
40%-59%;200;41.0738950908591, -8.14817365247537
20%-39%;100;40.6616934998748, -7.64682641720167
20%-39%;250;40.5640105865645, -8.51676884968531
20%-39%;630;41.5378258130813, -8.42402758369057
0%-19%;250;40.1606102613343, -8.42434795796329
20%-39%;50;38.8574828700475, -7.66218012370226
40%-59%;50;40.4276689013212, -7.89327523155132
40%-59%;250;40.1905941583107, -8.5206653223159
20%-39%;160;39.5082291837646, -8.91411005055191
0%-19%;630;38.7453957157589, -9.13549075578769
0%-19%;3150;38.766472313794, -9.0975467031791
20%-39%;630;38.7399947265043, -9.14755422644278
20%-39%;1260;38.6983838221606, -9.30352648878799
40%-59%;400;38.8140874729682, -9.47688153377339
20%-39%;250;39.0114653325308, -7.12800206142315
40%-59%;1000;38.7627011145489, -9.24151652356882
0%-19%;630;39.1234635080375, -9.25107965115697
60%-79%;630;38.8890987214846, -7.15099087499513
60%-79%;250;41.3286721722126, -8.37539218425365
20%-39%;630;41.2483059636871, -8.62743286311111
60%-79%;400;41.1719130814608, -8.51944883548142
20%-39%;400;41.2601299568314, -8.44271525737029
20%-39%;1260;41.1678481133934, -8.60354502560463
40%-59%;250;41.1940839201527, -8.32148190451286
20%-39%;100;37.1606442660802, -8.2463452669052
20%-39%;400;41.0977397900681, -8.65695796664347
80%-99%;160;41.3553133138842, -8.40655442247909
20%-39%;400;41.0485238493393, -8.61624034174861
20%-39%;630;41.1179043005471, -8.60611379977791
60%-79%;250;41.2927433415915, -8.68984885062217
80%-99%;100;41.3617703812539, -8.66827299668792
40%-59%;630;38.9231869588872, -8.88330658954218
40%-59%;200;38.0519747647608, -8.78131704617918
0%-19%;100;37.7881649744779, -8.61629643383256
40%-59%;50;39.7101723362296, -8.58310707683984
20%-39%;800;38.6349898258473, -8.91383073885706
20%-39%;400;38.6471879961514, -8.98953385654972
60%-79%;100;41.5939484852986, -7.34951718949183
20%-39%;100;42.1293534070566, -8.20751383502099
20%-39%;250;40.7919393310714, -7.68428058422607
20%-39%;100;40.7761814198493, -7.67182332780829
0%-19%;400;40.6211221124146, -8.50601390554319
20%-39%;250;40.7383799390419, -8.36872731267812
40%-59%;250;41.6781364480432, -8.18385770691996
20%-39%;400;40.1132838522193, -8.51101856384899
40%-59%;50;38.2993638912693, -7.71841197189889
20%-39%;400;40.2105183838427, -8.46426615538414
20%-39%;160;40.3246918607835, -8.18897099425296
20%-39%;100;39.6121898360418, -8.92938057041942
0%-19%;50;40.5190132399981, -7.5673345590472
0%-19%;400;39.6095826287023, -8.98632974342029
0%-19%;630;38.7649579322638, -9.16630239172891
60%-79%;100;39.9784922876785, -8.75193119136774
40%-59%;160;39.3357535649387, -9.2406991871619
40%-59%;630;38.7575211691605, -9.25680463984237
20%-39%;100;39.5116253425921, -7.95629974974781
40%-59%;250;41.2870530396997, -8.37809463555878
20%-39%;400;41.1965117910063, -8.43400020949899
20%-39%;250;41.2584016866076, -8.35392493084292
40%-59%;100;41.1585651495654, -8.06351123313741
40%-59%;100;37.6929507565938, -8.75149783463575
0%-19%;315;41.5105521859107, -8.45459249958016
20%-39%;630;41.624343961142, -8.72946949836803
40%-59%;630;39.7516826403389, -7.92484441851017
20%-39%;100;40.3111221462935, -7.3234814602527
80%-99%;160;40.2023616537837, -8.36951965677366
0%-19%;100;39.8380951144472, -8.26509394766341
80%-99%;100;37.2034146498931, -8.37407602371168
40%-59%;50;37.2973400859306, -7.64183971039905
40%-59%;25;37.2992940685666, -8.51113902129081
0%-19%;1260;41.3697767658651, -8.74722706545653
0%-19%;250;41.2641235683664, -8.5744214273341
60%-79%;160;39.4716694446866, -8.64823023149402
20%-39%;630;38.7469099367999, -8.97304997706996
60%-79%;250;38.6570331794943, -9.0693439603655
80%-99%;100;41.4310587631163, -7.51686604880813
0%-19%;250;40.3867817784631, -8.07522357480502
20%-39%;100;40.5458541238002, -7.91911237802178
60%-79%;100;40.5472433449014, -7.74546708250778
0%-19%;50;40.6162187478493, -8.1167161874491
60%-79%;160;41.0411094358822, -8.22376883443411
20%-39%;250;40.7894883512277, -8.02844199703366
60%-79%;630;41.1865783832669, -8.66449622724957
0%-19%;100;40.7422340804129, -7.95546954141337
40%-59%;250;40.6114206359419, -8.46187120043117
20%-39%;250;41.3941418646191, -8.54420540575444
20%-39%;100;40.8484153374279, -7.25304408401908
60%-79%;100;40.6063420857606, -7.30789507122142
0%-19%;100;38.7301588282087, -9.14506670902454
20%-39%;630;38.7958210707457, -9.34315685019508
40%-59%;100;39.1359831759812, -9.19868504853491
20%-39%;400;41.1818598428712, -8.6314405039771
20%-39%;250;41.2056259029275, -8.32077859449487
20%-39%;1890;41.159026357266, -8.60586957728415
20%-39%;630;38.0171376356061, -7.85945681954833
0%-19%;50;40.2056477912445, -8.51169394965355
20%-39%;630;40.2123163050717, -8.41811117212344
20%-39%;160;37.1057077650004, -7.68141787771425
20%-39%;630;37.1442100079748, -8.55717153615447
40%-59%;400;37.1575188889034, -8.55600439797851
20%-39%;630;41.1590539599155, -8.63505988959889
60%-79%;160;38.9145162800358, -8.85429324388762
20%-39%;800;39.2329574495581, -8.68412130116694
40%-59%;100;39.290703770509, -8.9139165970864
60%-79%;400;38.5499789435737, -9.05005661933656
80%-99%;100;38.214178457677, -8.43652579173372
40%-59%;400;37.8516121689655, -8.78854039311056
40%-59%;200;40.6418779239032, -7.79938459836429
0%-19%;100;40.5666192130571, -7.80991561264629
40%-59%;250;40.99318736542, -8.6035905082352
40%-59%;160;40.7365555847263, -8.5600621114577
20%-39%;100;41.7384539337516, -8.24668078908514
0%-19%;100;41.2090617337652, -7.41912369261631
40%-59%;100;41.5710757577535, -8.14847113789279
0%-19%;100;41.5649921401278, -8.11665620393905
40%-59%;100;41.7015588145987, -8.1266062286203
+100%;50;41.6044167608751, -7.14093239123595
20%-39%;400;41.3822435148409, -8.00425140229597
20%-39%;2520;41.5783278664676, -8.42944099564143
20%-39%;250;38.8296527268795, -7.82969546110451
60%-79%;50;40.0239593618104, -8.34665318513992
0%-19%;100;40.3330566866039, -6.84920045205659
0%-19%;100;39.9548147171738, -8.44447843131961
20%-39%;100;39.4723360476279, -9.02362388891571
20%-39%;100;39.2157102960761, -8.99512668600369
20%-39%;160;38.7420973600532, -9.14725056638711
20%-39%;1260;38.6857989567361, -9.32206106173835
40%-59%;400;38.7955331473413, -9.1461741380486
40%-59%;250;39.1142396189554, -9.37513043769939
20%-39%;400;38.856423576179, -9.07342416433039
40%-59%;160;41.1832601597868, -8.31147164928567
60%-79%;250;41.1923801423105, -8.27319564066363
40%-59%;630;41.1912631250453, -8.57717199874156
40%-59%;100;41.1755650670201, -8.36070004998652
40%-59%;630;41.1767247732779, -8.62096739631157
40%-59%;250;41.5666917176766, -8.46745783478242
20%-39%;160;38.2169349968746, -7.82162580179437
60%-79%;160;37.7459604286688, -8.75654477979372
40%-59%;250;37.6746125350836, -7.49952509972968
20%-39%;50;39.9660309144494, -7.9919294300109
20%-39%;50;39.9617215482333, -7.87774162562743
40%-59%;100;40.3289723918308, -8.51110352940909
20%-39%;630;37.0727691141489, -8.10887880090226
60%-79%;100;37.1240037918344, -8.16727262523135
40%-59%;100;37.1311876400651, -7.88596752019633
20%-39%;50;37.2824142277751, -7.52624990620046
0%-19%;100;37.2723777564377, -8.21231758855884
0%-19%;630;41.1172075288569, -8.62424711141689
0%-19%;1030;41.34720010136, -8.4809518038663
20%-39%;100;39.1251265155565, -8.51345972198206
40%-59%;160;39.6984614338522, -8.30842532344317
80%-99%;100;39.3377853173313, -8.56233213670249
80%-99%;160;38.4603620709604, -8.86389068316571
20%-39%;100;40.6506013005574, -7.83234983001008
40%-59%;50;40.8219738558729, -7.84625337544318
+100%;50;41.0387859953474, -7.80234733211902
60%-79%;50;40.751219700284, -7.72740796125042
40%-59%;400;41.129648884006, -7.80352091797299
20%-39%;100;40.75299184591, -7.88110148087172
20%-39%;100;40.4053576107146, -8.23879731201803
0%-19%;100;40.7983437531685, -7.78975294952182
20%-39%;250;40.9287754154102, -8.29174168410673
60%-79%;630;41.572421336965, -8.2698226277354
40%-59%;100;41.5926157962998, -7.84357765347966
0%-19%;630;41.5344775155381, -8.25801460332861
20%-39%;100;41.6204426275092, -7.21698618039295
60%-79%;50;40.6266090281149, -7.12533306552649
20%-39%;160;40.4955325529786, -7.35754303167952
40%-59%;160;39.6714330888996, -8.83367896714189
40%-59%;100;39.3979151679412, -9.05914847565578
20%-39%;400;40.4114314133519, -7.70921922226855
20%-39%;100;37.0736138762428, -8.85147544357695
80%-99%;630;37.1938834881289, -7.41782631126358
20%-39%;1890;38.7321019505419, -9.15245295394311
20%-39%;160;39.8264132006165, -8.61618691350272
0%-19%;1260;38.7761348484451, -9.15138427773005
60%-79%;400;38.918439697547, -9.19433628511306
20%-39%;630;38.7704323126395, -9.16792761166836
0%-19%;1260;38.7001415404581, -9.17190318934315
40%-59%;630;38.9316550059713, -9.01325739072162
20%-39%;250;39.1360395693173, -7.57884581891365
40%-59%;400;41.1980231929588, -8.57617596923616
20%-39%;100;41.2912991420363, -8.29680323606362
60%-79%;250;41.2405200394929, -8.39234247833052
20%-39%;250;41.092964796382, -8.51451815660137
80%-99%;100;41.2139398402023, -8.36089996900237
0%-19%;250;38.0329733871997, -7.64583066564099
40%-59%;250;41.5293171203676, -8.47612981954555
40%-59%;400;40.2954718672744, -7.50547551829481
20%-39%;500;39.8241460659435, -7.50739435460918
60%-79%;160;40.297921037702, -7.46540720655027
0%-19%;100;39.8559158456367, -7.04512716346694
20%-39%;250;37.173182309413, -8.35018148059389
40%-59%;250;37.1033600716083, -8.1928136920095
40%-59%;50;37.2655921277333, -7.65830706964649
20%-39%;25;37.0952224349944, -7.98376650056945
0%-19%;1260;41.140372961156, -8.65142136972087
20%-39%;160;41.3321845069488, -8.56863906785091
0%-19%;400;41.0263775992457, -8.58459890758908
0%-19%;630;39.4737143152471, -8.54311095689367
40%-59%;400;38.665060990113, -9.04735921013589
20%-39%;630;40.6763259149498, -7.70135954364256
60%-79%;100;41.0842098476615, -7.84759608911111
40%-59%;50;40.4753964574315, -8.21590778680643
0%-19%;100;40.584271572294, -7.86164475108723
40%-59%;400;40.9865049208345, -8.55265510548807
20%-39%;250;40.5088261672334, -8.57531900042693
60%-79%;50;40.961650007751, -8.32595752662337
0%-19%;400;41.4956778988888, -7.16489491255934
0%-19%;630;41.4299372589419, -8.35634092999568
20%-39%;250;41.5153054541674, -7.16485021257477
80%-99%;200;41.369093769479, -8.30777577457781
20%-39%;100;40.1252910291732, -8.12206494802496
80%-99%;100;40.0509147988305, -8.64431572881159
40%-59%;500;39.0568707130119, -9.00484145680558
20%-39%;630;38.7254284651989, -9.12863878845535
40%-59%;250;39.6896142124234, -8.89138680424346
0%-19%;160;39.0951785142873, -9.13914252886788
20%-39%;400;39.7497931182933, -8.79228242640858
60%-79%;250;39.2824339151844, -9.03991656475947
40%-59%;250;38.8861697628656, -9.17641691270741
40%-59%;100;39.3650889220537, -7.43375401551515
20%-39%;250;41.3063510900118, -8.10079350510721
0%-19%;630;41.1796833704395, -8.69250311557343
0%-19%;100;39.2355574980037, -7.46136959282241
0%-19%;2520;41.1745419037245, -8.68783471316171
0%-19%;50;38.1430864416492, -7.38844721086157
40%-59%;400;38.0095427613163, -7.86051584807052
0%-19%;100;37.1472856114545, -8.25745830231762
20%-39%;400;37.0946490009001, -7.70394592135184
0%-19%;1030;37.0839574287803, -8.08468431205152
60%-79%;250;37.298912423262, -8.85602060875087
0%-19%;630;41.1772678088554, -8.62420945414565
+100%;250;39.2003665209496, -8.62070707770017
60%-79%;100;39.6584802117186, -8.35902572347912
40%-59%;250;38.5708580160106, -8.90352663170412
80%-99%;400;38.6319980649358, -9.12405567815638
0%-19%;400;38.7190225747499, -9.0014845807958
0%-19%;630;41.8340068112736, -8.41986366227405
+100%;50;41.77293200252, -8.55283487659412
20%-39%;100;40.4226575948061, -7.98129287926808
40%-59%;100;40.7706562474647, -8.06205934688611
40%-59%;100;40.6651198241829, -7.60540573868535
0%-19%;100;40.8941012217243, -7.93855004120171
0%-19%;100;40.708360365734, -8.17062309889489
60%-79%;400;40.5009520811461, -8.58762726949685
20%-39%;50;41.0495307065757, -8.2404664795157
60%-79%;250;41.4108246521041, -8.27762065007342
60%-79%;50;41.8529460512513, -6.76637192222759
20%-39%;630;41.3787765530015, -8.30894708601836
0%-19%;400;41.5264008279155, -8.77762153484913
40%-59%;100;40.0302622007504, -8.78887117511715
40%-59%;50;39.9574014675279, -8.5119407812859
20%-39%;100;40.6287673826546, -7.29518420773977
20%-39%;630;38.7080531332157, -9.15243997989509
20%-39%;630;38.7506852677867, -9.19763499348661
40%-59%;630;38.9535154541272, -8.98919875686758
60%-79%;250;39.0067557794808, -8.97941150186652
20%-39%;250;39.1134536181266, -9.35118984460961
40%-59%;630;39.2784258534069, -7.42672076873454
60%-79%;100;41.1906670877256, -8.12817713744959
0%-19%;400;41.2870748138912, -8.09623034886032
20%-39%;400;40.2147990657487, -8.39248830523452
0%-19%;250;39.7522976628661, -7.8546578982293
20%-39%;100;37.3873082873804, -7.44470368644034
0%-19%;100;37.4619227613332, -7.47681624580667
40%-59%;250;37.1151953933415, -8.51259291660337
40%-59%;630;37.0864780648812, -8.73178584108484
40%-59%;100;37.2993478515335, -8.64007890950378
20%-39%;630;41.059929835924, -8.51284457289079
60%-79%;400;41.1228737937245, -8.63146679442565
40%-59%;160;41.2719200312544, -8.4625702387791
0%-19%;630;38.6135976300836, -9.09466890981116
20%-39%;250;41.7388878670146, -7.47459882323725
20%-39%;100;40.5729417277331, -8.07376492191542
60%-79%;100;41.0839852929555, -7.78580049395112
80%-99%;100;40.6130123555417, -8.47487724614145
20%-39%;250;40.4339113150754, -8.45339283713244
40%-59%;400;40.9797557246274, -8.56893945539836
20%-39%;250;41.439855690214, -8.33494275862376
0%-19%;630;41.456443242669, -8.31041342229332
20%-39%;250;41.4500765505592, -8.36585480737713
80%-99%;250;41.5546104736953, -8.77562253901824
40%-59%;100;41.5275337660638, -8.16824027813582
+100%;50;41.5070412668653, -8.26269327365269
60%-79%;100;39.5312412776956, -8.91674423292281
+100%;100;39.4861568676171, -9.16027468348389
0%-19%;100;40.5295395375054, -7.57545983890507
20%-39%;400;40.9027645618303, -6.97073644269826
40%-59%;250;39.676676034558, -8.8343137191899
20%-39%;160;39.7816440183975, -8.74737317167513
0%-19%;630;38.7233405118268, -9.15068225489059
80%-99%;250;38.8445533696536, -9.18366516876702
0%-19%;630;38.7627450886285, -9.10267174445588
20%-39%;400;38.8259835959169, -9.17364681263073
40%-59%;1000;38.7913365289835, -9.1505935973821
60%-79%;250;39.1561027858871, -9.31701963406632
40%-59%;250;41.2951742046507, -8.20842509571817
0%-19%;100;39.3337306175797, -7.49001929041708
40%-59%;100;41.3667414531896, -8.24097222362328
20%-39%;630;38.0122622880814, -7.86231685480189
20%-39%;400;37.5116746842211, -8.0651656964146
80%-99%;100;40.3239686787351, -8.39673897833793
40%-59%;100;40.3249116178843, -8.37432503306006
40%-59%;250;37.0912477620333, -8.25551823767092
20%-39%;630;37.0230775759153, -7.93884789209234
40%-59%;630;37.0994655800629, -8.18482838175193
20%-39%;630;41.1526340978551, -8.61567264529248
20%-39%;630;39.5412742440992, -8.15807231778275
20%-39%;400;39.3369937049707, -8.93231620030927
40%-59%;50;39.1440947717683, -8.75667061043081
20%-39%;250;39.1625359016169, -8.78072997087831
80%-99%;160;39.3828013961346, -8.5212786205453
