city;city_ascii;lat;lng
Idanha-a-Nova;Idanha-a-Nova;39.9167;-7.2333
Guifões;Guifoes;41.2011;-8.6650
Pinhel;Pinhel;40.7833;-7.0667
Mortágua;Mortagua;40.4333;-8.2333
Tavarede;Tavarede;40.1670;-8.8450
Aljustrel;Aljustrel;37.9167;-8.1667
Melgaço;Melgaco;42.1000;-8.2500
Paredes de Coura;Paredes de Coura;41.9000;-8.5500
Gondizalves;Gondizalves;41.5360;-8.4400
Rebordosa;Rebordosa;41.2200;-8.4120
Vinhais;Vinhais;41.8167;-7.0000
Carregado;Carregado;39.0167;-8.9667
Caxias;Caxias;38.7020;-9.2760
Almargem;Almargem;38.8475;-9.2714
Aver-o-Mar;Aver-o-Mar;41.4000;-8.7667
Vila Nova de Cerveira;Vila Nova de Cerveira;41.9667;-8.6833
Rabo de Peixe;Rabo de Peixe;37.8103;-25.5861
Ponta do Sol;Ponta do Sol;32.6806;-17.1042
Lourosa;Lourosa;40.9880;-8.5460
Ferreira do Zêzere;Ferreira do Zezere;39.6833;-8.2833
Torre de Moncorvo;Torre de Moncorvo;41.2000;-7.1333
Chamusca;Chamusca;39.3500;-8.4833
